município,saldo,movements,month
220840,25,299,202209
220850,0,4,202209
220865,5,19,202209
220870,1,5,202209
220880,-26,36,202209
220887,18,20,202209
220890,9,53,202209
220900,0,2,202209
220910,41,47,202209
220915,1,1,202209
220920,44,136,202209
220930,6,8,202209
220937,28,50,202209
220950,8,8,202209
220955,1,1,202209
220965,14,14,202209
220970,1,1,202209
220975,-2,6,202209
220980,-3,9,202209
220987,1,1,202209
220990,5,5,202209
220995,1,1,202209
220997,-1,1,202209
221000,15,91,202209
221005,0,4,202209
221010,-11,11,202209
221020,3,3,202209
221030,-1,1,202209
221035,1,1,202209
221037,-4,4,202209
221038,-2,2,202209
221039,-17,19,202209
221040,-5,9,202209
221050,-4,8,202209
221060,27,193,202209
221063,1,97,202209
221065,2,2,202209
221070,36,44,202209
221080,7,17,202209
221090,4,6,202209
221093,1,7,202209
221097,1,1,202209
221100,1737,12745,202209
221110,-25,279,202209
221120,183,523,202209
221130,16,54,202209
221140,-2,2,202209
221160,-1,1,202209
221170,16,16,202209
230010,25,33,202209
230015,5,29,202209
230020,18,162,202209
230030,15,53,202209
230040,1,5,202209
230050,-1,3,202209
230060,24,30,202209
230070,39,57,202209
230075,-1,59,202209
230080,0,2,202209
230090,23,29,202209
230100,10,1186,202209
230110,48,510,202209
230120,20,70,202209
230125,2,4,202209
230130,8,16,202209
230140,8,16,202209
230150,5,5,202209
230160,4,40,202209
230170,5,19,202209
230185,-4,18,202209
230190,154,528,202209
230195,-6,32,202209
230200,2,18,202209
230205,-3,5,202209
230210,-3,83,202209
230220,110,300,202209
230230,19,53,202209
230240,12,88,202209
230250,320,726,202209
230260,36,226,202209
230270,11,33,202209
230280,41,321,202209
230290,-28,42,202209
230300,-4,26,202209
230310,44,70,202209
230320,-3,9,202209
230330,1,5,202209
230340,14,24,202209
230350,25,345,202209
230360,0,6,202209
230365,-1,9,202209
230370,225,2891,202209
230380,8,22,202209
230390,-3,5,202209
230393,2,6,202209
230395,19,87,202209
230400,29,47,202209
230410,165,497,202209
230420,144,856,202209
230423,3,7,202209
230425,22,138,202209
230426,-1,3,202209
230427,2,2,202209
230428,842,3718,202209
230430,-2,14,202209
230435,27,83,202209
230440,5865,49621,202209
230445,42,128,202209
230450,-5,127,202209
230460,0,6,202209
230465,1,3,202209
230470,420,462,202209
230480,-1,1,202209
230490,1,17,202209
230495,15,49,202209
230500,8,44,202209
230510,0,18,202209
230520,1,13,202209
230523,319,1147,202209
230526,6,10,202209
230530,10,30,202209
230533,-7,9,202209
230535,126,332,202209
230540,7,121,202209
230550,42,598,202209
230560,8,24,202209
230565,1,5,202209
230570,5,15,202209
230580,162,262,202209
230590,1,19,202209
230600,-8,12,202209
230610,9,55,202209
230620,-2,4,202209
230625,70,534,202209
230630,30,222,202209
230640,47,579,202209
230650,-2,8,202209
230655,-4,68,202209
230660,-4,8,202209
230670,-1,7,202209
230680,5,15,202209
230690,19,149,202209
230700,-32,138,202209
230710,-8,16,202209
230720,-4,6,202209
230725,-12,520,202209
230730,406,3068,202209
230740,20,44,202209
230750,4,12,202209
230760,86,730,202209
230763,-7,23,202209
230765,275,3719,202209
230770,31,709,202209
230780,65,163,202209
230790,53,59,202209
230800,19,63,202209
230810,30,76,202209
230820,2,8,202209
230830,7,59,202209
230835,-3,11,202209
230837,6,16,202209
230840,10,42,202209
230850,9,65,202209
230860,-2,4,202209
230870,-1,485,202209
230880,50,52,202209
230890,5,15,202209
230900,1,15,202209
230910,2,8,202209
230920,7,43,202209
230930,0,36,202209
230940,-18,56,202209
230945,-22,42,202209
230950,3,15,202209
230960,109,487,202209
230970,57,461,202209
230980,-3,11,202209
230990,0,2,202209
231000,27,37,202209
231010,7,13,202209
231020,17,121,202209
231025,62,166,202209
231030,29,35,202209
231040,3,5,202209
231050,15,33,202209
231060,-3,9,202209
231070,27,161,202209
231080,-77,247,202209
231085,44,100,202209
231090,5,7,202209
231095,0,4,202209
231100,4,6,202209
231110,5,13,202209
231120,0,2,202209
231123,-1,5,202209
231126,-3,5,202209
231130,49,477,202209
231135,3,27,202209
231140,-65,599,202209
231150,26,220,202209
231160,-10,42,202209
231170,0,12,202209
231180,78,882,202209
231190,2,2,202209
231195,2,2,202209
231200,9,23,202209
231210,20,32,202209
231220,17,157,202209
231230,14,96,202209
231240,-151,875,202209
231250,15,19,202209
231260,-3,11,202209
231270,-4,94,202209
231280,6,8,202209
231290,323,2507,202209
231300,60,116,202209
231310,-7,99,202209
231320,-1,5,202209
231325,1,7,202209
231330,95,231,202209
231335,-8,8,202209
231340,152,550,202209
231350,44,250,202209
231355,-7,13,202209
231360,31,125,202209
231370,-3,3,202209
231375,6,38,202209
231380,2,86,202209
231390,233,289,202209
231395,85,127,202209
231400,22,94,202209
231410,86,116,202209
240010,11,63,202209
240020,87,393,202209
240030,41,67,202209
240040,1,1,202209
240050,8,14,202209
240060,0,2,202209
240070,19,133,202209
240080,9,33,202209
240100,186,424,202209
240110,21,209,202209
240120,114,250,202209
240130,0,2,202209
240140,54,102,202209
240145,118,332,202209
240150,-2,4,202209
240165,-3,3,202209
240170,-1,5,202209
240180,23,27,202209
240185,30,54,202209
240190,-1,1,202209
240200,109,649,202209
240210,-7,9,202209
240220,20,138,202209
240230,28,48,202209
240240,7,65,202209
240250,8,12,202209
240260,178,364,202209
240270,-3,15,202209
240300,-12,32,202209
240310,50,258,202209
240320,0,2,202209
240325,417,3105,202209
240340,3,13,202209
240350,-4,32,202209
240360,24,256,202209
240370,1,1,202209
240375,-1,9,202209
240380,5,53,202209
240410,-3,23,202209
240420,22,162,202209
240430,22,66,202209
240440,-8,48,202209
240450,34,82,202209
240460,7,17,202209
240470,281,371,202209
240480,2,2,202209
240485,-13,81,202209
240490,1,1,202209
240500,-2,6,202209
240510,100,132,202209
240520,-4,6,202209
240530,-2,2,202209
240540,13,17,202209
240560,16,48,202209
240570,13,63,202209
240580,71,219,202209
240610,21,91,202209
240630,3,5,202209
240640,-1,3,202209
240650,-31,85,202209
240660,3,7,202209
240670,-28,96,202209
240690,-1,1,202209
240700,-2,2,202209
240710,68,588,202209
240720,104,196,202209
240730,1,3,202209
240740,-2,14,202209
240750,0,28,202209
240760,0,6,202209
240770,6,14,202209
240780,25,77,202209
240790,-3,5,202209
240800,371,4923,202209
240810,892,13912,202209
240820,7,103,202209
240830,22,106,202209
240840,0,2,202209
240850,-3,15,202209
240860,1,1,202209
240870,-4,8,202209
240880,3,13,202209
240890,86,250,202209
240895,4,10,202209
240910,1,17,202209
240920,2,10,202209
240930,-7,17,202209
240933,1,5,202209
240940,37,173,202209
240950,-7,15,202209
240960,2,2,202209
240970,-77,95,202209
240980,-3,17,202209
240990,8,92,202209
241010,2,4,202209
241020,-2,6,202209
241025,5,23,202209
241030,12,28,202209
241040,3,9,202209
241050,1,5,202209
241060,35,41,202209
241070,-3,3,202209
241090,-22,72,202209
241105,21,69,202209
241110,-1,1,202209
241120,19,157,202209
241140,-3,9,202209
241142,-10,22,202209
241150,-2,34,202209
241160,34,146,202209
241180,2,4,202209
241190,-1,1,202209
241200,205,849,202209
241210,1,3,202209
241220,44,340,202209
241230,5,7,202209
241240,0,42,202209
241250,14,34,202209
241255,22,80,202209
241260,-2,38,202209
241270,-2,2,202209
241280,-1,1,202209
241290,2,12,202209
241300,5,29,202209
241310,10,16,202209
241320,-3,5,202209
241330,-3,13,202209
241335,99,125,202209
241340,20,74,202209
241350,1,1,202209
241355,-2,2,202209
241360,2,6,202209
241370,3,3,202209
241380,-6,6,202209
241390,4,16,202209
241400,27,41,202209
241410,1,11,202209
241415,-2,10,202209
241420,17,303,202209
241430,0,2,202209
241440,45,103,202209
241445,-2,2,202209
241450,0,20,202209
241460,39,73,202209
241470,1,1,202209
241475,1,1,202209
241480,12,32,202209
241500,-2,2,202209
250010,6,6,202209
250020,-1,1,202209
250030,12,24,202209
250040,41,59,202209
250050,3,11,202209
250053,-2,2,202209
250060,144,284,202209
250070,10,20,202209
250073,1,11,202209
250077,1,15,202209
250080,0,6,202209
250090,6,12,202209
250100,8,44,202209
250110,75,105,202209
250120,-5,11,202209
250130,12,18,202209
250140,12,12,202209
250150,51,87,202209
250153,-1,1,202209
250157,1,1,202209
250160,-1,3,202209
250180,113,595,202209
250190,-2,34,202209
250200,-1,3,202209
250205,-1,3,202209
250215,6,24,202209
250220,0,4,202209
250230,9,9,202209
250240,2,8,202209
250250,54,70,202209
250260,1,1,202209
250270,1,1,202209
250280,0,6,202209
250290,-1,3,202209
250300,9,131,202209
250310,0,8,202209
250320,140,1284,202209
250330,-2,12,202209
250340,2,2,202209
250350,-1,9,202209
250355,3,3,202209
250360,8,8,202209
250370,64,406,202209
250375,-1,1,202209
250380,9,19,202209
250390,1,3,202209
250400,1043,6039,202209
250403,1,3,202209
250420,3,5,202209
250430,0,162,202209
250435,-1,5,202209
250440,11,23,202209
250450,3,7,202209
250460,-20,412,202209
250470,-1,3,202209
250480,-2,42,202209
250485,1,1,202209
250490,200,230,202209
250500,-1,1,202209
250510,-8,30,202209
250520,0,6,202209
250523,2,2,202209
250527,2,2,202209
250530,-1,1,202209
250535,-1,1,202209
250540,15,19,202209
250550,-4,6,202209
250560,-1,1,202209
250570,-7,13,202209
250580,0,6,202209
250600,60,114,202209
250610,-2,4,202209
250625,-1,1,202209
250630,109,485,202209
250640,15,31,202209
250650,1,1,202209
250660,1,3,202209
250670,2,4,202209
250680,19,43,202209
250690,3,53,202209
250700,0,70,202209
250710,5,39,202209
250720,35,51,202209
250730,18,24,202209
250740,3,9,202209
250750,490,12928,202209
250760,-2,2,202209
250770,-1,13,202209
250780,3,13,202209
250790,27,51,202209
250800,2,2,202209
250810,7,7,202209
250820,5,5,202209
250830,15,75,202209
250840,-1,1,202209
250850,1,5,202209
250860,1,31,202209
250880,4,12,202209
250890,108,350,202209
250900,2,2,202209
250905,20,34,202209
250910,4,18,202209
250915,0,10,202209
250920,10,14,202209
250930,15,29,202209
250937,-2,2,202209
250939,-3,3,202209
250940,2,16,202209
250950,4,8,202209
250970,0,64,202209
250980,-7,9,202209
250990,-1,1,202209
251000,3,9,202209
251010,5,13,202209
251020,-1,3,202209
251030,0,4,202209
251050,1,1,202209
251060,1,3,202209
251070,1,9,202209
251080,129,777,202209
251090,2,6,202209
251110,-1,7,202209
251120,23,147,202209
251130,2,18,202209
251140,5,33,202209
251150,-134,194,202209
251160,1,3,202209
251170,1,1,202209
251180,0,10,202209
251190,3,51,202209
251200,19,45,202209
251203,0,2,202209
251207,0,4,202209
251210,-7,67,202209
251220,-1,1,202209
251230,8,52,202209
251240,7,27,202209
251250,19,123,202209
251270,-3,13,202209
251272,-1,1,202209
251274,-2,2,202209
251275,1,1,202209
251280,0,4,202209
251290,37,129,202209
251300,-2,2,202209
251310,7,13,202209
251315,0,4,202209
251320,1,5,202209
251340,-118,282,202209
251360,1,3,202209
251370,628,1414,202209
251380,5,19,202209
251385,-1,3,202209
251390,-5,75,202209
251392,1,1,202209
251394,11,11,202209
251396,0,4,202209
251398,0,4,202209
251400,1,1,202209
251420,-3,5,202209
251430,0,2,202209
251445,17,23,202209
251450,4,18,202209
251455,-1,1,202209
251460,1,1,202209
251470,0,4,202209
251480,7,9,202209
251490,-4,6,202209
251500,4,6,202209
251510,-5,9,202209
251530,29,133,202209
251540,-1,3,202209
251550,6,16,202209
251560,5,9,202209
251570,13,23,202209
251590,13,13,202209
251593,-4,18,202209
251597,6,8,202209
251600,4,74,202209
251610,20,34,202209
251620,39,419,202209
251630,-3,35,202209
251640,2,2,202209
251650,1,19,202209
251660,0,10,202209
251670,46,122,202209
251675,-1,3,202209
251680,-14,34,202209
251690,-2,28,202209
251700,1,1,202209
251710,-1,5,202209
251720,2,4,202209
260005,23,609,202209
260010,4,162,202209
260020,50,150,202209
260030,-10,58,202209
